"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","itinerary_num","Duration (min)","WalkTime (min)","WalkDistance (m)","Transfers","TransitTime (min)","first_stop_name","first_stop_long","first_stop_lat","last_stop_name","last_stop_long","last_stop_lat","first_type","last_type"
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,30.53,13.05,826.69,1,14.05,"OPP BLK 155","103.8392761","1.376085","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,42.47,13.1,870.48,1,24.07,"MAYFLOWER STN EXIT 5","103.8367907","1.3704697","OPP BLK 968","103.8783096","1.3791867","BUS","BUS"
"Ang Mo Kio","Kebun Bahru",1.37346688128,103.839610084,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,0,39.03,6.97,449.28,1,25.28,"MAYFLOWER STN EXIT 5","103.8367907","1.3704697","BLK 508","103.8880596","1.3714356","BUS","BUS"
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,35.25,35.25,2268.21,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,40.25,18.18,1125.69,1,18.43,"ST. NICHOLAS  GIRLS'","103.8332083","1.3719917","YIO CHU KANG MRT STATION","103.8449606","1.3817273","BUS","SUBWAY"
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,0,43.05,16.37,1035.1,1,23.57,"BEF ANG MO KIO AVE 1","103.8286291","1.3694955","PEI CHUN PUBLIC SCH","103.8556225","1.3362578","BUS","BUS"
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,0,46.43,21.67,1427.28,0,24.77,"OPP MEADOWS @ PEIRCE","103.8275778","1.3791617","OPP KHATIB CAMP","103.8301807","1.4236302","BUS","BUS"
"Ang Mo Kio","Sembawang Hills",1.37471512206,103.83076595,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,0,41.4,18.15,1158.07,1,18.87,"ST. NICHOLAS  GIRLS'","103.8332083","1.3719917","TOA PAYOH MRT STATION","103.8475893","1.3324629","BUS","SUBWAY"
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,25.33,25.33,1667.32,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,0,36.77,12.37,792.38,2,18.6,"OPP ANG MO KIO PR SCH","103.8395934","1.3699561","BLK 23","103.8572184","1.334358","BUS","BUS"
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,0,31.2,13.92,916.78,1,14.97,"OPP ANG MO KIO PR SCH","103.8395934","1.3699561","TOA PAYOH MRT STATION","103.8475893","1.3324629","BUS","SUBWAY"
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,38.02,13.2,872.24,1,22.37,"OPP ANG MO KIO PR SCH","103.8395934","1.3699561","OPP BLK 968","103.8783096","1.3791867","BUS","BUS"
"Ang Mo Kio","Shangri-La",1.36797210005,103.83839294,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,31.03,12.08,770.96,1,15.52,"MAYFLOWER STN EXIT 2","103.837564","1.3744719","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,26.55,15.12,975.84,0,11.43,"MEADOWS @ PEIRCE","103.8276883","1.3794564","BEF ANG MO KIO LIB","103.8450115","1.3762088","BUS","BUS"
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,43.8,15.93,1048.53,1,21.82,"MEADOWS @ PEIRCE","103.8276883","1.3794564","BEF KHATIB STN","103.8325916","1.4162542","BUS","BUS"
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,0,46.6,24.5,1613.68,0,22.1,"AFT TAGORE DR","103.8228745","1.3851475","OPP KHATIB CAMP","103.8301807","1.4236302","BUS","BUS"
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,0,49.07,23.8,1548.43,0,25.27,"AFT TAGORE DR","103.8228745","1.3851475","BLK 763","103.8349582","1.425564","BUS","BUS"
"Ang Mo Kio","Tagore",1.38680551744,103.82833841,"WOODLANDS HEALTH",1.425362,103.795606,0,34.27,18.78,1235.33,1,12.63,"AFT TAGORE DR","103.8228745","1.3851475","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Townsville",1.3653546353,103.848472651,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,23.03,23.03,1497.39,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Townsville",1.3653546353,103.848472651,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,0,32,16.88,1041.84,1,13.02,"BISHAN MRT STATION","103.8481801","1.3508269","BLK 23","103.8572184","1.334358","SUBWAY","BUS"
"Ang Mo Kio","Townsville",1.3653546353,103.848472651,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,35.23,15.1,962.7,1,17.73,"AFT ANG MO KIO INT","103.8482886","1.3716197","OPP BLK 968","103.8783096","1.3791867","BUS","BUS"
"Ang Mo Kio","Townsville",1.3653546353,103.848472651,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,0,36.32,8.53,492.51,1,23.82,"OPP BLK 315","103.8458592","1.3638981","BLK 508","103.8880596","1.3714356","BUS","BUS"
"Ang Mo Kio","Townsville",1.3653546353,103.848472651,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,0,27.82,18.43,1166.24,0,9.38,"BISHAN MRT STATION","103.8481801","1.3508269","TOA PAYOH MRT STATION","103.8475893","1.3324629","SUBWAY","SUBWAY"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,25.4,25.4,1750.98,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,20.57,6.22,398.6,2,9.42,"no value","no value","no value","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,20.57,6.22,398.6,2,9.42,"no value","no value","no value","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,0,33.87,19.48,1307.6,1,11.77,"KHATIB MRT STATION","103.833061","1.4175891","OPP BLK 757","103.8353696","1.4265729","SUBWAY","BUS"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,38.52,11.5,766.51,1,24.8,"BEF AMK ST 64","103.8480411","1.3869978","OPP BLK 910","103.8826019","1.3793694","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,0,31.05,13.87,897.28,2,12.25,"no value","no value","no value","KHATIB MRT STATION","103.833061","1.4175891","BUS","SUBWAY"
"Ang Mo Kio","Yio Chu Kang",1.38558094991,103.846291727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,0,31.05,13.87,897.28,2,12.25,"no value","no value","no value","KHATIB MRT STATION","103.833061","1.4175891","BUS","SUBWAY"
"Ang Mo Kio","Yio Chu Kang East",1.38347038859,103.853396065,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,46.45,46.45,3196.86,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Yio Chu Kang East",1.38347038859,103.853396065,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,47.03,24.12,1591.25,1,19.2,"BEF ECON MEDICARE CTR","103.8517438","1.3925401","OPP BLK 910","103.8826019","1.3793694","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang East",1.38347038859,103.853396065,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,0,45.43,23.05,1483.54,0,22.38,"BEF ECON MEDICARE CTR","103.8517438","1.3925401","BLK 615","103.884927","1.3683687","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang East",1.38347038859,103.853396065,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,33.73,22.32,1474.27,1,8.45,"YIO CHU KANG STADIUM","103.8467826","1.3840867","no value","no value","no value","BUS","SUBWAY"
"Ang Mo Kio","Yio Chu Kang East",1.38347038859,103.853396065,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,0,43.33,19.5,1244.69,1,19.73,"BEF ECON MEDICARE CTR","103.8517438","1.3925401","FARMWAY LRT STATION","103.8893361","1.3971667","BUS","TRAM"
"Ang Mo Kio","Yio Chu Kang North",1.39369687402,103.846851076,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,16.1,6.62,421.98,0,9.48,"BEF ANG MO KIO ST 64","103.8465928","1.3911055","BEF ANG MO KIO LIB","103.8450115","1.3762088","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang North",1.39369687402,103.846851076,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,24.9,7.43,494.67,0,17.47,"BEF ANG MO KIO ST 64","103.8465928","1.3911055","BEF KHATIB STN","103.8325916","1.4162542","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang North",1.39369687402,103.846851076,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,0,30.93,4.65,313.37,1,24,"BEF ANG MO KIO ST 64","103.8465928","1.3911055","OPP BLK 757","103.8353696","1.4265729","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang North",1.39369687402,103.846851076,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,0,34.38,7.87,495.11,1,24.23,"BEF ANG MO KIO ST 64","103.8465928","1.3911055","BET BLKS 201/202","103.8376965","1.4304094","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang North",1.39369687402,103.846851076,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,32.88,11.05,739.48,1,19.2,"BEF ECON MEDICARE CTR","103.8517438","1.3925401","OPP BLK 910","103.8826019","1.3793694","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0,22.22,22.22,1457.74,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,24.42,17.9,1114.53,0,6.52,"no value","no value","no value","no value","no value","no value","SUBWAY","SUBWAY"
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,0,24.42,17.9,1114.53,0,6.52,"no value","no value","no value","no value","no value","no value","SUBWAY","SUBWAY"
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,0,34.88,16.47,1047.46,0,18.42,"CASTLE GREEN","103.8429065","1.3857813","BLK 790","103.8343301","1.4196423","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,0,39.13,8.97,601.82,1,27.72,"BLK 641","103.8399964","1.378883","OPP BLK 968","103.8783096","1.3791867","BUS","BUS"
"Ang Mo Kio","Yio Chu Kang West",1.38128167548,103.840062362,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,0,38.82,21.37,1325.91,1,12.48,"KHATIB MRT STATION","103.833061","1.4175891","BET BLKS 201/202","103.8376965","1.4304094","SUBWAY","BUS"
"Bedok","Bayshore",1.31384026864,103.948650781,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,21.12,4.58,301.37,0,16.53,"AFT BEDOK STH AVE 3","103.9448211","1.3161644","BLK 220 CP","103.9353376","1.3256632","BUS","BUS"
"Bedok","Bayshore",1.31384026864,103.948650781,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,22.78,8.18,536.04,0,14.6,"KEW GREEN CONDO","103.9513833","1.3184367","BLK 3012","103.9510569","1.336385","BUS","BUS"
"Bedok","Bayshore",1.31384026864,103.948650781,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,25.08,5.6,341.42,0,19.48,"AFT BEDOK STH AVE 3","103.9448211","1.3161644","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Bayshore",1.31384026864,103.948650781,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,0,29.68,5.08,314.92,1,22.33,"KEW GREEN CONDO","103.9513833","1.3184367","TAMPINES STN/INT","103.9460906","1.3536669","BUS","BUS"
"Bedok","Bayshore",1.31384026864,103.948650781,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,0,28.75,7.48,506.6,2,14.47,"OPP BLK 156","103.9447656","1.3180431","TAMPINES MRT STATION","103.9451612","1.3532885","BUS","SUBWAY"
"Bedok","Bedok North",1.33042705336,103.936016365,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,11.07,11.07,680.29,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Bedok","Bedok North",1.33042705336,103.936016365,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,21.28,8.65,582.77,1,10.4,"BLK 506","103.9339381","1.332305","no value","no value","no value","BUS","BUS"
"Bedok","Bedok North",1.33042705336,103.936016365,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,0,21.07,7.23,458.8,0,13.83,"BLK 506","103.9339381","1.332305","TAMPINES STN/INT","103.9460906","1.3536669","BUS","BUS"
"Bedok","Bedok North",1.33042705336,103.936016365,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,33.95,7.42,469.66,2,19.43,"BEDOK CTRL PO","103.9340968","1.3276656","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Bedok North",1.33042705336,103.936016365,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,0,28.07,8.97,616.64,1,16.72,"OPP BLK 220 CP","103.9355564","1.3255328","TAMPINES MRT STATION","103.9451612","1.3532885","BUS","SUBWAY"
"Bedok","Bedok Reservoir",1.34004072425,103.926329464,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,11.72,4.9,332.43,0,6.82,"OPP WATERFRONT WAVES","103.9294825","1.3387928","BLK 139","103.9348131","1.3294089","BUS","BUS"
"Bedok","Bedok Reservoir",1.34004072425,103.926329464,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,17.55,5.67,360.37,0,11.88,"OPP WATERFRONT WAVES","103.9294825","1.3387928","CHANGI GENERAL HOSP","103.9483811","1.340055","BUS","BUS"
"Bedok","Bedok Reservoir",1.34004072425,103.926329464,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,0,19.78,6.43,427.11,0,13.35,"OPP WATERFRONT WAVES","103.9294825","1.3387928","TAMPINES STN/INT","103.9460906","1.3536669","BUS","BUS"
"Bedok","Bedok Reservoir",1.34004072425,103.926329464,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,0,32.4,4.63,311.52,1,25.77,"OPP WATERFRONT WAVES","103.9294825","1.3387928","BEF PASIR RIS ST 53","103.9476587","1.3728312","BUS","BUS"
"Bedok","Bedok Reservoir",1.34004072425,103.926329464,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,36.63,6.43,408.63,1,27.95,"BLK 716","103.9253787","1.3381575","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Bedok South",1.32144278127,103.944554127,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,31.73,31.73,2057.02,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Bedok","Bedok South",1.32144278127,103.944554127,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,22,6.35,395.41,1,10.93,"BLK 50","103.944121","1.3235084","BLK 3012","103.9510569","1.336385","BUS","BUS"
"Bedok","Bedok South",1.32144278127,103.944554127,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,0,33.65,5.98,373.77,1,23.08,"BLK 50","103.944121","1.3235084","BLK 233","103.9476691","1.3566033","BUS","BUS"
"Bedok","Bedok South",1.32144278127,103.944554127,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,27.27,7.05,435.1,0,20.22,"AFT BLK 156","103.9450956","1.3175933","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Bedok South",1.32144278127,103.944554127,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,0,23.97,8.48,572.7,1,12.3,"BLK 50","103.944121","1.3235084","TAMPINES MRT STATION","103.9451612","1.3532885","BUS","SUBWAY"
"Bedok","Frankel",1.31477899132,103.920428972,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,16.65,8.37,518.01,0,8.28,"BEF FRANKEL PL","103.9199864","1.3127867","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Frankel",1.31477899132,103.920428972,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,24.37,11.25,715.06,0,13.12,"BEF SEKOLAH INDONESIA","103.9248123","1.311358","BLK 220 CP","103.9353376","1.3256632","BUS","BUS"
"Bedok","Frankel",1.31477899132,103.920428972,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,0,34.95,11.3,694.04,1,21.65,"AFT JLN BULOH PERINDU","103.9193078","1.3107614","BLK 1015","103.890188","1.3194611","BUS","BUS"
"Bedok","Frankel",1.31477899132,103.920428972,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,31.92,13.53,825.55,2,13.77,"AFT BETHESDA FRANKEL CH","103.9175534","1.3166234","no value","no value","no value","BUS","BUS"
"Bedok","Frankel",1.31477899132,103.920428972,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,0,33.53,15.68,989.38,1,15.45,"AFT BETHESDA FRANKEL CH","103.9175534","1.3166234","SIMEI MRT STATION","103.9533713","1.3432034","BUS","SUBWAY"
"Bedok","Kaki Bukit",1.33557766727,103.909564735,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,19.95,3.97,253.1,1,13.83,"OPP BLK 150","103.9124251","1.3364433","BEF HEARTBEAT @ BEDOK","103.9306289","1.3272014","BUS","BUS"
"Bedok","Kaki Bukit",1.33557766727,103.909564735,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,0,23.45,9.77,641.03,1,7.22,"UBI MRT STATION","103.8992107","1.3299976","BLK 1015","103.890188","1.3194611","SUBWAY","BUS"
"Bedok","Kaki Bukit",1.33557766727,103.909564735,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,27.65,6.52,398.7,2,15.52,"BLK 660A CP","103.9074342","1.3347029","D'ECOSIA","103.9096486","1.3063379","BUS","BUS"
"Bedok","Kaki Bukit",1.33557766727,103.909564735,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,0,31.28,6.48,415.06,0,24.8,"BLK 660A CP","103.9074342","1.3347029","HOUGANG CTRL INT","103.89261","1.3712267","BUS","BUS"
"Bedok","Kaki Bukit",1.33557766727,103.909564735,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,0,25.23,4.58,273.28,0,20.65,"OPP BLK 150","103.9124251","1.3364433","CHANGI GENERAL HOSP","103.9483811","1.340055","BUS","BUS"
"Bedok","Kembangan",1.32480584111,103.915614422,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,0,37.78,37.78,2434.08,0,0,"no value","no value","no value","no value","no value","no value",NA,NA
"Bedok","Kembangan",1.32480584111,103.915614422,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,0,23.28,10.6,659.65,0,12.68,"AFT FRANKEL TERR","103.9145958","1.3187031","TAO NAN SCH","103.9110052","1.3056631","BUS","BUS"
"Bedok","Kembangan",1.32480584111,103.915614422,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,0,27.5,21.98,1457.7,0,5.52,"EUNOS MRT STATION","103.9031003","1.3197272","PAYA LEBAR MRT STATION","103.8930332","1.3181162","SUBWAY","SUBWAY"
