"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Duration..min.","WalkTime..min.","WalkDistance..m.","Transfers","TransitTime..min.","Heuristic.Distance..km.","Weekend","Peak.Hour"
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.37,8.77,550.63,1,27.47,4.25115076162673,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,37.95,6.75,436.69,2,24.68,4.25115076162673,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.4,7.32,462.21,2,21.57,4.25115076162673,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,41.17,4.13,244.01,2,26.72,4.25115076162673,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.8,9.2,584,2,19.08,4.25115076162673,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.37,8.77,550.63,1,27.47,4.25115076162673,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,37.95,6.75,436.69,2,24.68,4.25115076162673,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,39.4,7.32,462.21,2,21.57,4.25115076162673,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,41.17,4.13,244.01,2,26.72,4.25115076162673,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,29.97,5.37,326.31,1,21.17,5.11047388213067,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,5.11047388213067,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,38.35,10.13,664.51,1,25.18,5.11047388213067,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,30.47,5.37,326.31,1,21.17,5.11047388213067,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,5.11047388213067,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,37.55,9.05,585.58,0,28.5,5.11047388213067,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,29.97,5.37,326.31,1,21.17,5.11047388213067,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,5.11047388213067,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,38.35,10.13,664.51,1,25.18,5.11047388213067,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,30.47,5.37,326.31,1,21.17,5.11047388213067,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,32.92,9.05,585.58,0,23.87,5.11047388213067,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,37.55,9.05,585.58,0,28.5,5.11047388213067,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,34.5,7.82,496.91,1,20.93,5.16971498271289,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,37.58,6.65,438.28,1,21.87,5.16971498271289,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,39.15,15.28,995.7,0,23.87,5.16971498271289,0,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,30.58,6.65,438.28,1,21.87,5.16971498271289,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,39.15,15.28,995.7,0,23.87,5.16971498271289,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,43.78,15.28,995.7,0,28.5,5.16971498271289,0,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,34.5,7.82,496.91,1,20.93,5.16971498271289,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,37.58,6.65,438.28,1,21.87,5.16971498271289,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,39.15,15.28,995.7,0,23.87,5.16971498271289,1,0
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,30.58,6.65,438.28,1,21.87,5.16971498271289,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,39.15,15.28,995.7,0,23.87,5.16971498271289,1,1
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,43.78,15.28,995.7,0,28.5,5.16971498271289,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,14.92,8.12,540.53,0,6.8,1.57877079882397,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1.57877079882397,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1.57877079882397,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1.57877079882397,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1.57877079882397,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.4,15.05,973.77,0,5.35,1.57877079882397,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,14.92,8.12,540.53,0,6.8,1.57877079882397,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1.57877079882397,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1.57877079882397,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.08,15.72,1022.13,0,4.37,1.57877079882397,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.38,15.05,973.77,0,5.33,1.57877079882397,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,20.4,15.05,973.77,0,5.35,1.57877079882397,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.47,6.38,405.62,2,15.42,3.29755039988823,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.43,8.03,504.13,1,19.15,3.29755039988823,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,33.53,3.85,237.79,2,18.17,3.29755039988823,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.97,6.38,405.62,2,15.42,3.29755039988823,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,31.15,9.72,630.14,2,16.65,3.29755039988823,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.53,3.85,237.79,2,18.17,3.29755039988823,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.47,6.38,405.62,2,15.42,3.29755039988823,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.43,8.03,504.13,1,19.15,3.29755039988823,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,33.53,3.85,237.79,2,18.17,3.29755039988823,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.97,6.38,405.62,2,15.42,3.29755039988823,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,31.15,9.72,630.14,2,16.65,3.29755039988823,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.53,3.85,237.79,2,18.17,3.29755039988823,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,22.62,3.6,231.67,1,15.77,3.80081297641779,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.01,0,13.83,3.80081297641779,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,3.80081297641779,0,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,23.12,3.6,231.67,1,15.77,3.80081297641779,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.01,0,13.83,3.80081297641779,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,3.80081297641779,0,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,22.62,3.6,231.67,1,15.77,3.80081297641779,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.01,0,13.83,3.80081297641779,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,3.80081297641779,1,0
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,23.12,3.6,231.67,1,15.77,3.80081297641779,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,24.25,10.42,643.01,0,13.83,3.80081297641779,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,27.15,11.58,771.39,0,15.57,3.80081297641779,1,1
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,21.9,7.93,530.02,1,11.78,4.87081421261188,0,0
