Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Weekend,Peak Hour
River Valley,Institution Hill,1.294015854,103.8375004,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,31.27,22.27,1431.01,0,9.0,2.45919444593411,1,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.1,18.58,1216.79,0,5.52,3.20146566573976,0,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.45,10.7,706.93,1,11.23,3.20146566573976,0,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.68,15.37,994.1,0,14.32,3.20146566573976,0,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.1,18.58,1216.79,0,5.52,3.20146566573976,0,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,26.62,10.7,706.93,1,11.23,3.20146566573976,0,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.68,15.37,994.1,0,14.32,3.20146566573976,0,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.1,18.58,1216.79,0,5.52,3.20146566573976,1,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.45,10.7,706.93,1,11.23,3.20146566573976,1,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.68,15.37,994.1,0,14.32,3.20146566573976,1,0
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,24.1,18.58,1216.79,0,5.52,3.20146566573976,1,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,26.62,10.7,706.93,1,11.23,3.20146566573976,1,1
River Valley,Institution Hill,1.294015854,103.8375004,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.68,15.37,994.1,0,14.32,3.20146566573976,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.8,18.28,1189.58,1,8.42,2.02605150910683,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.25,18.28,1189.58,1,8.42,2.02605150910683,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.9,19.2,1232.47,1,6.55,2.02605150910683,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,31.8,20.57,1355.46,1,9.22,2.02605150910683,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.8,18.28,1189.58,1,8.42,2.02605150910683,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.25,18.28,1189.58,1,8.42,2.02605150910683,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,28.9,19.2,1232.47,1,6.55,2.02605150910683,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,31.8,20.57,1355.46,1,9.22,2.02605150910683,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,17.42,14.52,946.09,0,2.9,2.0517191630566,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,26.25,11.38,737.46,0,14.87,2.0517191630566,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,27.25,21.18,1358.72,0,6.07,2.0517191630566,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,17.42,14.52,946.09,0,2.9,2.0517191630566,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,26.25,11.38,737.46,0,14.87,2.0517191630566,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,17.42,14.52,946.09,0,2.9,2.0517191630566,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,26.25,11.38,737.46,0,14.87,2.0517191630566,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,27.25,21.18,1358.72,0,6.07,2.0517191630566,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,17.42,14.52,946.09,0,2.9,2.0517191630566,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,26.25,11.38,737.46,0,14.87,2.0517191630566,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,13.17,10.27,675.94,0,2.9,2.07530718322693,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,22.37,8.97,559.59,0,13.4,2.07530718322693,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,13.17,10.27,675.94,0,2.9,2.07530718322693,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,22.37,8.97,559.59,0,13.4,2.07530718322693,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,13.17,10.27,675.94,0,2.9,2.07530718322693,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,22.37,8.97,559.59,0,13.4,2.07530718322693,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,13.17,10.27,675.94,0,2.9,2.07530718322693,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,22.37,8.97,559.59,0,13.4,2.07530718322693,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,21.93,11.73,756.61,0,10.2,2.37735324345183,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,29.72,9.78,595.29,0,19.93,2.37735324345183,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,24.85,9.78,595.29,0,15.07,2.37735324345183,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.35,16.73,1065.38,0,13.62,2.37735324345183,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.63,15.57,1022.71,0,15.07,2.37735324345183,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,21.93,11.73,756.61,0,10.2,2.37735324345183,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,29.72,9.78,595.29,0,19.93,2.37735324345183,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,24.85,9.78,595.29,0,15.07,2.37735324345183,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.35,16.73,1065.38,0,13.62,2.37735324345183,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.63,15.57,1022.71,0,15.07,2.37735324345183,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,23.0,17.48,1173.94,0,5.52,2.93616031089603,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.48,16.63,1083.52,0,12.85,2.93616031089603,0,0
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,22.05,18.4,1216.83,0,3.65,2.93616031089603,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.48,16.63,1083.52,0,12.85,2.93616031089603,0,1
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,23.0,17.48,1173.94,0,5.52,2.93616031089603,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.48,16.63,1083.52,0,12.85,2.93616031089603,1,0
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,22.05,18.4,1216.83,0,3.65,2.93616031089603,1,1
River Valley,Leonie Hill,1.297939806,103.8340638,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,29.48,16.63,1083.52,0,12.85,2.93616031089603,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,28.85,14.75,958.22,0,14.1,2.21571490145649,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.27,18.37,1138.58,0,11.9,2.21571490145649,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,36.93,6.98,440.66,1,26.5,2.21571490145649,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,28.85,14.75,958.22,0,14.1,2.21571490145649,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.27,18.37,1138.58,0,11.9,2.21571490145649,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,28.85,14.75,958.22,0,14.1,2.21571490145649,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.27,18.37,1138.58,0,11.9,2.21571490145649,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,36.93,6.98,440.66,1,26.5,2.21571490145649,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,28.85,14.75,958.22,0,14.1,2.21571490145649,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - BUKIT MERAH,1.284206,103.817674,30.27,18.37,1138.58,0,11.9,2.21571490145649,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.08,21.43,1344.11,1,6.55,2.42671300456859,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.53,21.43,1344.11,1,6.55,2.42671300456859,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.62,21.43,1344.11,1,6.55,2.42671300456859,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,33.03,17.15,1099.7,1,13.83,2.42671300456859,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.08,21.43,1344.11,1,6.55,2.42671300456859,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.53,21.43,1344.11,1,6.55,2.42671300456859,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,30.62,21.43,1344.11,1,6.55,2.42671300456859,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,33.03,17.15,1099.7,1,13.83,2.42671300456859,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.23,18.67,1203.41,0,6.57,2.66997218478049,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,36.1,16.58,1028.03,1,13.77,2.66997218478049,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,36.95,26.02,1672.74,0,10.93,2.66997218478049,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.23,18.67,1203.41,0,6.57,2.66997218478049,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.23,18.67,1203.41,0,6.57,2.66997218478049,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,36.1,16.58,1028.03,1,13.77,2.66997218478049,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,36.95,26.02,1672.74,0,10.93,2.66997218478049,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,25.23,18.67,1203.41,0,6.57,2.66997218478049,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,20.98,14.42,933.26,0,6.57,2.76068965802288,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,31.97,12.45,755.82,1,13.77,2.76068965802288,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,32.92,15.97,965.61,1,13.03,2.76068965802288,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,20.98,14.42,933.26,0,6.57,2.76068965802288,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,20.98,14.42,933.26,0,6.57,2.76068965802288,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,31.97,12.45,755.82,1,13.77,2.76068965802288,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,32.92,15.97,965.61,1,13.03,2.76068965802288,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,20.98,14.42,933.26,0,6.57,2.76068965802288,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,23.57,8.75,554.37,0,14.82,2.85956788934578,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,26.95,11.38,723.8,0,15.57,2.85956788934578,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,29.03,14.93,953.07,0,14.1,2.85956788934578,0,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,23.57,8.75,554.37,0,14.82,2.85956788934578,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,26.95,11.38,723.8,0,15.57,2.85956788934578,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,29.03,14.93,953.07,0,14.1,2.85956788934578,0,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,23.57,8.75,554.37,0,14.82,2.85956788934578,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,26.95,11.38,723.8,0,15.57,2.85956788934578,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,29.03,14.93,953.07,0,14.1,2.85956788934578,1,0
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,23.57,8.75,554.37,0,14.82,2.85956788934578,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,26.95,11.38,723.8,0,15.57,2.85956788934578,1,1
River Valley,One Tree Hill,1.301726274,103.8271686,QUEENSTOWN POLYCLINIC,1.298751,103.801618,29.03,14.93,953.07,0,14.1,2.85956788934578,1,1
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,32.17,30.83,1961.83,0,1.33,1.677554514047,0,0
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,32.35,10.5,704.41,1,14.35,1.677554514047,0,0
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.67,11.48,722.4,1,13.83,1.677554514047,0,1
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.78,9.12,597.21,1,14.35,1.677554514047,0,1
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,32.17,30.83,1961.83,0,1.33,1.677554514047,1,0
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,32.35,10.5,704.41,1,14.35,1.677554514047,1,0
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.67,11.48,722.4,1,13.83,1.677554514047,1,1
River Valley,Oxley,1.29711288,103.8405281,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.310712,103.847062,29.78,9.12,597.21,1,14.35,1.677554514047,1,1
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.33,7.85,501.78,0,10.48,1.91059620792943,0,0
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,26.17,15.5,944.68,0,10.67,1.91059620792943,0,0
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.33,7.85,501.78,0,10.48,1.91059620792943,0,1
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.33,7.85,501.78,0,10.48,1.91059620792943,1,0
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,26.17,15.5,944.68,0,10.67,1.91059620792943,1,0
River Valley,Oxley,1.29711288,103.8405281,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,18.33,7.85,501.78,0,10.48,1.91059620792943,1,1
River Valley,Oxley,1.29711288,103.8405281,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,22.22,10.27,679.65,0,11.95,1.98611240193808,0,0
River Valley,Oxley,1.29711288,103.8405281,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,26.47,18.68,1216.8,0,7.78,1.98611240193808,0,0
River Valley,Oxley,1.29711288,103.8405281,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,27.5,19.0,1205.14,0,8.5,1.98611240193808,0,0
River Valley,Oxley,1.29711288,103.8405281,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,22.22,10.27,679.65,0,11.95,1.98611240193808,0,1
